V01301 V04001 V04002 V04003 V13305 V10004_701 V11291_701 V12001_701 V13003_701 V14032
54423 2000 1 1 999990.0000 975.6000 0.0000 -7.2000 72.0000 0.0000 
54423 2000 1 2 0.8000 974.7000 1.5000 -6.8000 45.0000 7.0000 
54423 2000 1 3 999990.0000 976.0000 0.0000 -9.5000 60.0000 0.0000 
54423 2000 1 4 999990.0000 975.7000 0.0000 -5.8000 82.0000 0.0000 
54423 2000 1 5 2.6000 975.3000 0.0000 -6.3000 85.0000 0.0000 
54423 2000 1 6 0.0000 977.8000 3.5000 -14.0000 49.0000 6.7000 
54423 2000 1 7 0.0000 977.7000 2.0000 -16.5000 43.0000 6.0000 
54423 2000 1 8 0.0000 975.9000 0.0000 -17.2000 63.0000 7.6000 
54423 2000 1 9 0.0000 974.6000 0.0000 -12.6000 70.0000 5.3000 
54423 2000 1 10 0.0000 982.4000 0.3000 -11.9000 66.0000 7.8000 
54423 2000 1 11 1.2000 982.5000 0.0000 -10.8000 83.0000 0.0000 
54423 2000 1 12 1.4000 977.0000 0.0000 -7.3000 77.0000 0.0000 
54423 2000 1 13 0.0000 978.4000 0.0000 -14.0000 67.0000 7.5000 
54423 2000 1 14 0.0000 978.7000 0.0000 -14.6000 77.0000 8.0000 
54423 2000 1 15 0.0000 980.8000 0.0000 -12.6000 76.0000 5.9000 
54423 2000 1 16 0.0000 984.4000 0.0000 -12.4000 72.0000 7.7000 
54423 2000 1 17 0.0000 980.4000 0.0000 -13.4000 73.0000 7.7000 
54423 2000 1 18 0.0000 979.3000 1.3000 -13.1000 65.0000 8.5000 
54423 2000 1 19 0.0000 981.9000 1.0000 -13.5000 52.0000 8.1000 
54423 2000 1 20 0.0000 988.8000 0.0000 -15.4000 56.0000 8.2000 
54423 2000 1 21 0.0000 989.3000 0.0000 -14.8000 63.0000 3.5000 
54423 2000 1 22 1.3000 980.1000 0.0000 -10.2000 87.0000 0.0000 
54423 2000 1 23 0.0000 985.1000 0.0000 -11.9000 68.0000 8.2000 
54423 2000 1 24 0.0000 994.7000 0.8000 -15.8000 48.0000 8.4000 
54423 2000 1 25 0.0000 993.1000 1.3000 -15.0000 50.0000 8.3000 
54423 2000 1 26 0.0000 993.2000 0.3000 -12.8000 53.0000 8.2000 
54423 2000 1 27 0.0000 990.7000 0.0000 -13.3000 63.0000 7.7000 
54423 2000 1 28 0.0000 984.1000 0.5000 -12.4000 65.0000 7.9000 
54423 2000 1 29 0.0000 987.8000 3.0000 -10.6000 48.0000 7.9000 
54423 2000 1 30 0.0000 995.4000 2.0000 -14.0000 48.0000 8.0000 
54423 2000 1 31 0.0000 996.8000 0.0000 -15.8000 50.0000 8.4000 
54423 2000 2 1 0.0000 987.8000 0.0000 -16.2000 60.0000 7.4000 
54423 2000 2 2 0.0000 982.8000 0.8000 -13.7000 52.0000 8.0000 
54423 2000 2 3 0.0000 983.0000 0.3000 -12.1000 53.0000 8.2000 
54423 2000 2 4 0.0000 982.1000 0.0000 -10.9000 55.0000 7.9000 
54423 2000 2 5 0.0000 976.9000 0.0000 -9.2000 65.0000 0.0000 
54423 2000 2 6 0.0000 976.4000 1.5000 -7.9000 60.0000 6.8000 
54423 2000 2 7 0.0000 976.7000 3.3000 -8.9000 52.0000 6.9000 
54423 2000 2 8 0.0000 981.0000 1.0000 -11.8000 48.0000 8.5000 
54423 2000 2 9 0.0000 976.3000 0.0000 -10.9000 54.0000 8.1000 
54423 2000 2 10 0.0000 972.2000 0.0000 -7.8000 54.0000 8.3000 
54423 2000 2 11 0.0000 973.7000 1.0000 -4.9000 50.0000 8.7000 
54423 2000 2 12 0.0000 972.3000 0.5000 -4.5000 61.0000 7.0000 
54423 2000 2 13 0.0000 974.1000 0.3000 -3.0000 62.0000 6.1000 
54423 2000 2 14 0.0000 977.3000 3.0000 -8.3000 49.0000 6.2000 
54423 2000 2 15 0.0000 977.7000 2.3000 -10.4000 47.0000 8.5000 
54423 2000 2 16 0.0000 977.5000 1.5000 -9.7000 45.0000 8.8000 
54423 2000 2 17 0.0000 979.2000 0.0000 -9.5000 48.0000 8.3000 
54423 2000 2 18 0.0000 977.1000 0.5000 -7.4000 51.0000 0.0000 
54423 2000 2 19 0.0000 975.7000 1.3000 -5.1000 51.0000 8.7000 
54423 2000 2 20 0.0000 976.6000 2.0000 -7.3000 51.0000 8.6000 
54423 2000 2 21 0.0000 977.2000 0.5000 -6.5000 50.0000 9.4000 
54423 2000 2 22 0.0000 975.8000 0.8000 -2.8000 49.0000 7.1000 
54423 2000 2 23 0.0000 980.9000 1.0000 -4.6000 38.0000 9.6000 
54423 2000 2 24 0.0000 984.4000 0.8000 -5.6000 39.0000 9.5000 
54423 2000 2 25 0.0000 975.8000 0.8000 -4.2000 47.0000 5.6000 
54423 2000 2 26 0.0000 973.7000 1.3000 -3.3000 46.0000 9.4000 
54423 2000 2 27 0.0000 976.8000 2.5000 -4.3000 46.0000 9.9000 
54423 2000 2 28 0.0000 985.9000 0.8000 -5.2000 46.0000 9.9000 
54423 2000 2 29 0.0000 980.8000 0.3000 -1.8000 54.0000 9.0000 
54423 2000 3 1 999990.0000 976.7000 0.0000 -0.5000 54.0000 6.7000 
54423 2000 3 2 0.0000 972.7000 0.0000 1.7000 63.0000 5.9000 
54423 2000 3 3 0.0000 970.8000 0.8000 4.8000 47.0000 9.0000 
54423 2000 3 4 0.0000 976.5000 3.0000 2.5000 28.0000 10.0000 
54423 2000 3 5 0.0000 969.6000 3.3000 1.0000 32.0000 8.8000 
54423 2000 3 6 0.0000 976.0000 3.8000 -3.0000 29.0000 9.5000 
54423 2000 3 7 0.0000 978.0000 2.8000 -2.1000 25.0000 9.8000 
54423 2000 3 8 0.0000 975.9000 2.3000 -0.7000 42.0000 10.0000 
54423 2000 3 9 0.0000 978.9000 0.5000 -0.3000 40.0000 10.1000 
54423 2000 3 10 0.0000 976.1000 0.5000 1.0000 40.0000 9.6000 
54423 2000 3 11 0.0000 972.1000 0.0000 2.6000 33.0000 10.6000 
54423 2000 3 12 0.0000 970.9000 0.8000 3.3000 31.0000 10.8000 
54423 2000 3 13 0.0000 974.4000 0.0000 2.0000 45.0000 3.8000 
54423 2000 3 14 1.5000 976.5000 0.3000 1.0000 62.0000 0.0000 
54423 2000 3 15 7.7000 969.3000 0.0000 1.8000 81.0000 6.9000 
54423 2000 3 16 0.0000 967.7000 1.3000 2.7000 61.0000 10.1000 
54423 2000 3 17 0.0000 964.8000 1.3000 4.4000 49.0000 10.5000 
54423 2000 3 18 0.0000 966.9000 3.3000 4.3000 39.0000 9.2000 
54423 2000 3 19 0.0000 976.1000 0.8000 1.8000 41.0000 10.6000 
54423 2000 3 20 999990.0000 971.9000 0.5000 1.8000 62.0000 3.6000 
54423 2000 3 21 2.4000 976.3000 0.5000 4.7000 72.0000 9.1000 
54423 2000 3 22 0.0000 973.8000 1.8000 4.0000 60.0000 0.0000 
54423 2000 3 23 0.0000 972.0000 6.5000 4.5000 16.0000 8.7000 
54423 2000 3 24 0.0000 973.9000 1.5000 2.0000 38.0000 10.9000 
54423 2000 3 25 0.0000 972.9000 2.0000 4.3000 40.0000 10.5000 
54423 2000 3 26 0.0000 964.6000 0.8000 9.0000 34.0000 10.0000 
54423 2000 3 27 0.0000 956.4000 3.0000 8.8000 30.0000 5.8000 
54423 2000 3 28 0.0000 969.5000 4.8000 6.4000 28.0000 10.5000 
54423 2000 3 29 0.0000 972.3000 0.5000 4.7000 44.0000 6.2000 
54423 2000 3 30 0.0000 965.2000 0.0000 7.6000 37.0000 0.0000 
54423 2000 3 31 0.0000 968.9000 0.5000 6.9000 39.0000 10.8000 
54423 2000 4 1 4.1000 971.2000 0.8000 5.5000 54.0000 3.6000 
54423 2000 4 2 1.4000 973.9000 0.8000 7.0000 84.0000 2.1000 
54423 2000 4 3 0.0000 968.9000 2.0000 9.6000 71.0000 7.8000 
54423 2000 4 4 0.0000 969.8000 3.3000 7.7000 36.0000 11.0000 
